backbone,env,family,configuration,n,win,loss,delta_pts,p_mcnemar,dsteps,dsteps_lo,dsteps_hi,dtime_s,unpaired,in_table
UniVLA,LIBERO Spatial,Action repeat,action_repeat2,100,0,68,-68.0000,0.0000,100.3200,92.7600,107.5300,1.8573,0,1
UniVLA,LIBERO Spatial,Action repeat,action_repeat4,100,0,95,-95.0000,0.0000,111.6900,105.3300,117.3800,-0.5440,0,0
UniVLA,LIBERO Spatial,Depth pruning,depth_pruning1,100,5,4,1.0000,1.0000,-0.4800,-8.4400,7.1300,-0.1058,0,1
UniVLA,LIBERO Spatial,Depth pruning,depth_pruning2,100,5,6,-1.0000,1.0000,3.1500,-5.6500,11.6900,-0.0069,0,0
UniVLA,LIBERO Spatial,Depth pruning,depth_pruning4,100,4,5,-1.0000,1.0000,0.8600,-6.9600,8.3900,-0.4793,0,0
UniVLA,LIBERO Spatial,Foveation,fixed_foveation_keep20,100,1,5,-4.0000,0.2188,6.1100,-0.2500,12.8400,0.7047,0,0
UniVLA,LIBERO Spatial,Foveation,fixed_foveation_keep50,100,5,4,1.0000,1.0000,0.6200,-6.6400,8.2900,0.2221,0,1
UniVLA,LIBERO Spatial,Guarded reuse,guarded_reuse_aggressive,100,0,0,0.0000,1.0000,0.0000,0.0000,0.0000,0.0345,0,0
UniVLA,LIBERO Spatial,Guarded reuse,guarded_reuse_moderate,100,0,0,0.0000,1.0000,0.0000,0.0000,0.0000,0.0817,0,0
UniVLA,LIBERO Spatial,Guarded reuse,guarded_reuse_strict,100,0,0,0.0000,1.0000,0.0000,0.0000,0.0000,0.1103,0,1
UniVLA,LIBERO Spatial,Temporal fusion,temporal_fusion_conservative_adaptive,100,0,0,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0089,0,1
UniVLA,LIBERO Spatial,Temporal fusion,temporal_fusion_motion_entropy,100,1,5,-4.0000,0.2188,5.3500,0.6900,11.0300,0.4824,0,0
UniVLA,LIBERO Spatial,Temporal fusion,temporal_fusion_task_aware,100,1,4,-3.0000,0.3750,4.4900,-0.3100,10.2300,1.3004,0,0
OpenVLA,LIBERO Long,Action repeat,action_repeat2,100,10,20,-10.0000,0.0987,10.6800,-14.6700,36.6600,-30.1108,0,1
