source,model,config,suite,n,successes,success,steps,episode_s,step_ms,calls,query_ms
results_corrected/cogact_base_simplerenv_fractal/original/google_robot_open_drawer/summary.json,cogact_base_simplerenv_fractal,original,google_robot_open_drawer,50,40,80.0,51.96,8.984617731221952,172.9141210781746,51.96,99.42924311957046
results_corrected/cogact_base_simplerenv_fractal/original/google_robot_pick_coke_can/summary.json,cogact_base_simplerenv_fractal,original,google_robot_pick_coke_can,50,49,98.0,20.46,3.282349233450368,160.42762626834644,20.46,100.2623817071142
results_corrected/cogact_base_simplerenv_fractal/original/google_robot_place_apple_in_closed_top_drawer/summary.json,cogact_base_simplerenv_fractal,original,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,13.365880728361663,167.07350910452078,80.0,99.66897031772533
results_corrected/cogact_base_simplerenv_fractal/temporal_fusion_conservative_adaptive/google_robot_close_drawer/summary.json,cogact_base_simplerenv_fractal,temporal_fusion_conservative_adaptive,google_robot_close_drawer,50,31,62.0,49.14,8.63285680922214,175.6788117464823,49.14,99.85051574354168
results_corrected/cogact_base_simplerenv_fractal/temporal_fusion_conservative_adaptive/google_robot_move_near/summary.json,cogact_base_simplerenv_fractal,temporal_fusion_conservative_adaptive,google_robot_move_near,50,47,94.0,22.5,3.667797571874689,163.01322541665286,22.5,101.50841589665248
results_corrected/cogact_base_simplerenv_fractal/temporal_fusion_conservative_adaptive/google_robot_open_drawer/summary.json,cogact_base_simplerenv_fractal,temporal_fusion_conservative_adaptive,google_robot_open_drawer,50,37,74.0,50.62,8.945738485401963,176.72339955357492,50.62,102.2504827675786
results_corrected/cogact_base_simplerenv_fractal/temporal_fusion_conservative_adaptive/google_robot_pick_coke_can/summary.json,cogact_base_simplerenv_fractal,temporal_fusion_conservative_adaptive,google_robot_pick_coke_can,50,49,98.0,20.46,3.3187645681248976,162.20745689760008,20.46,100.16510582345566
results_corrected/cogact_base_simplerenv_fractal/temporal_fusion_conservative_adaptive/google_robot_place_apple_in_closed_top_drawer/summary.json,cogact_base_simplerenv_fractal,temporal_fusion_conservative_adaptive,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,13.582323512511794,169.77904390639742,80.0,100.12533805301064
results_corrected/cogact_base_simplerenv_fractal/temporal_fusion_motion_entropy/google_robot_close_drawer/summary.json,cogact_base_simplerenv_fractal,temporal_fusion_motion_entropy,google_robot_close_drawer,50,31,62.0,48.42,8.560423483853228,176.7951979317065,48.42,100.0912055131898
results_corrected/cogact_base_simplerenv_fractal/temporal_fusion_motion_entropy/google_robot_move_near/summary.json,cogact_base_simplerenv_fractal,temporal_fusion_motion_entropy,google_robot_move_near,50,46,92.0,22.76,3.9645563221815974,174.18964508706492,22.76,111.87366932701738
