model,config,n,successes,success,steps,episode_s,step_ms,calls,query_ms,complete
univla_libero,temporal_fusion_motion_entropy,400,367,91.75,167.595,10.520218250219186,62.77167129221747,17.15,482.28521983238664,True
univla_libero,temporal_fusion_task_aware,400,369,92.25,165.25,11.487832527904539,69.51789729442989,16.9175,548.0452448413545,True
univla_simplerenv_bridge,action_repeat2,200,25,12.5,71.93,8.160691168459602,113.45323465118314,7.25,705.7954267637152,True
univla_simplerenv_bridge,action_repeat4,200,6,3.0,74.515,5.854771496164258,78.57171705246269,3.74,721.3746377811214,True
univla_simplerenv_bridge,depth_pruning1,200,164,82.0,32.45,6.009775608766214,185.20109734256437,6.81,687.4808874550508,True
univla_simplerenv_bridge,depth_pruning2,200,164,82.0,31.635,5.775090723769827,182.55383985363764,6.635,676.6101353872947,True
univla_simplerenv_bridge,depth_pruning4,200,163,81.5,32.315,5.593294788400027,173.08664051988325,6.765,634.8677750741875,True
univla_simplerenv_bridge,fixed_foveation_keep20,200,158,79.0,34.565,6.631407527502085,191.8532483003641,7.185,704.923445346375,True
univla_simplerenv_bridge,fixed_foveation_keep50,200,146,73.0,37.365,7.084363341224429,189.59891184863986,7.75,696.2763699603746,True
univla_simplerenv_bridge,guarded_reuse_aggressive,200,173,86.5,30.56,5.824524185963697,190.59306891242463,6.435,710.7518369361956,True
univla_simplerenv_bridge,guarded_reuse_moderate,200,175,87.5,30.065,5.698836427156796,189.55052144210197,6.345,707.7182290414697,True
univla_simplerenv_bridge,guarded_reuse_strict,200,175,87.5,30.21,5.772156099545169,191.06772921367656,6.375,709.8740596688564,True
univla_simplerenv_bridge,original,200,175,87.5,30.21,5.766004692219787,190.86410765374998,6.375,709.7220903343563,True
univla_simplerenv_bridge,temporal_fusion_conservative_adaptive,200,175,87.5,30.21,5.787509965940462,191.57596709501695,6.375,712.5827347422352,True
univla_simplerenv_bridge,temporal_fusion_motion_entropy,200,164,82.0,31.62,5.965377531455713,188.65836595369112,6.625,710.3291713688617,True
univla_simplerenv_bridge,temporal_fusion_task_aware,200,164,82.0,31.6,6.435491961136881,203.65480889673677,6.685,797.4911807066009,True
